Code;Libellé;Population municipale 2016;Boulangerie 2017
02062;Belleau;136;0
02063;Bellenglise;384;0
02064;Belleu;3740;2
02065;Bellicourt;604;0
02066;Benay;208;0
02067;Bergues-sur-Sambre;213;0
02068;Berlancourt;113;0
02069;Berlise;115;0
02070;Bernot;446;0
02071;Berny-Rivière;648;0
02072;Berrieux;190;0
02073;Berry-au-Bac;655;1
02074;Bertaucourt-Epourdon;609;0
02075;Berthenicourt;202;0
02076;Bertricourt;167;0
02077;Berzy-le-Sec;390;1
02078;Besmé;157;0
02079;Besmont;156;0
02080;Besny-et-Loizy;359;0
02081;Béthancourt-en-Vaux;463;1
02082;Beugneux;110;0
02083;Beuvardes;739;1
02084;Bézu-le-Guéry;260;0
02085;Bézu-Saint-Germain;1063;0
02086;Bichancourt;1074;0
02087;Bieuxy;28;0
02088;Bièvres;84;0
02089;Billy-sur-Aisne;1162;1
02090;Billy-sur-Ourcq;216;0
02091;Blanzy-lès-Fismes;112;0
02093;Blérancourt;1270;1
02094;Blesmes;436;0
02095;Bohain-en-Vermandois;5652;4
02096;Bois-lès-Pargny;203;0
02097;Boncourt;261;0
02098;Bonneil;377;0
02099;Bonnesvalyn;243;0
02100;Bony;137;0
02101;Bosmont-sur-Serre;196;0
02102;Bouconville-Vauclair;185;0
02103;Boué;1316;1
02104;Bouffignereux;103;0
02105;Bouresches;203;0
02106;Bourg-et-Comin;827;1
02107;Bourguignon-sous-Coucy;101;0
02108;Bourguignon-sous-Montbavin;155;0
02109;La Bouteille;491;0
02110;Braine;2231;2
02111;Brancourt-en-Laonnois;707;0
02112;Brancourt-le-Grand;573;0
02114;Brasles;1484;1
02115;Braye-en-Laonnois;211;0
02116;Braye-en-Thiérache;145;0
02117;Bray-Saint-Christophe;68;0
02118;Braye;120;0
02119;Brécy;343;0
02120;Brenelle;196;0
02121;Breny;248;0
02122;Brie;52;0
02123;Brissay-Choigny;300;0
02124;Brissy-Hamégicourt;654;0
02125;Brumetz;213;0
02126;Brunehamel;472;1
02127;Bruyères-sur-Fère;185;0
02128;Bruyères-et-Montbérault;1534;2
02129;Bruys;20;0
02130;Bucilly;189;0
02131;Bucy-le-Long;1888;0
02132;Bucy-lès-Cerny;210;0
02133;Bucy-lès-Pierrepont;416;1
02134;Buire;871;0
02135;Buironfosse;1146;1
02136;Burelles;129;0
02137;Bussiares;149;0
02138;Buzancy;189;0
02139;Caillouël-Crépigny;436;0
02140;Camelin;454;0
02141;La Capelle;1801;2
02142;Castres;244;0
02143;Le Catelet;194;0
02144;Caulaincourt;146;0
02145;Caumont;552;0
02146;Celles-lès-Condé;84;0
02148;Celles-sur-Aisne;259;0
02149;Cerizy;67;0
02150;Cerny-en-Laonnois;65;0
02151;Cerny-lès-Bucy;114;0
02152;Cerseuil;89;0
02153;Cessières-Suzy;764;0
02154;Chacrise;359;0
02155;Chaillevois;178;0
02156;Chalandry;250;0
02157;Chambry;840;1
02158;Chamouille;289;0
02159;Champs;281;0
02160;Chaourse;535;0
02162;La Chapelle-sur-Chézy;279;0
02163;Charly-sur-Marne;2638;3
02164;Le Charmel;318;0
02165;Charmes;1642;2
02166;Chartèves;350;0
02167;Chassemy;876;1
02168;Château-Thierry;14847;14
02169;Châtillon-lès-Sons;85;0
02170;Châtillon-sur-Oise;127;0
02171;Chaudardes;86;0
02172;Chaudun;249;0
02173;Chauny;11975;14
02174;Chavignon;817;3
02175;Chavigny;142;0
02176;Chavonne;204;0
02177;Chérêt;144;0
02178;Chermizy-Ailles;108;0
02179;Chéry-Chartreuve;390;0
02180;Chéry-lès-Pouilly;702;0
02181;Chéry-lès-Rozoy;83;0
02182;Chevennes;130;0
02183;Chevregny;190;0
02184;Chevresis-Monceau;360;0
02185;Chézy-en-Orxois;411;0
02186;Chézy-sur-Marne;1350;1
02187;Chierry;1097;1
02188;Chigny;150;0
02189;Chivres-en-Laonnois;368;0
02190;Chivres-Val;538;0
02191;Chivy-lès-Étouvelles;512;0
02192;Chouy;370;0
02193;Cierges;68;0
02194;Cilly;201;0
02195;Ciry-Salsogne;924;1
02196;Clacy-et-Thierret;317;0
02197;Clairfontaine;562;0
02198;Clamecy;226;0
02199;Clastres;652;0
02200;Clermont-les-Fermes;127;0
